Období|UK2 Mezičtvrtletní změny
30.6.1996|100,5
30.9.1996|100,4
31.12.1996|100,1
31.3.1997|99,9
30.6.1997|99,4
30.9.1997|99,3
31.12.1997|99,8
31.3.1998|100,2
30.6.1998|100,2
30.9.1998|99,9
31.12.1998|100,1
31.3.1999|99,9
30.6.1999|100,7
30.9.1999|101,0
31.12.1999|101,0
31.3.2000|101,5
30.6.2000|101,5
30.9.2000|101,3
31.12.2000|100,5
31.3.2001|100,8
30.6.2001|100,5
30.9.2001|100,4
31.12.2001|100,4
31.3.2002|100,1
30.6.2002|100,3
30.9.2002|100,7
31.12.2002|100,8
31.3.2003|101,1
30.6.2003|100,8
30.9.2003|101,0
31.12.2003|101,1
31.3.2004|101,3
30.6.2004|100,9
30.9.2004|101,7
31.12.2004|101,9
31.3.2005|101,7
30.6.2005|101,5
30.9.2005|101,5
31.12.2005|101,6
31.3.2006|102,5
30.6.2006|101,9
30.9.2006|101,2
31.12.2006|101,4
31.3.2007|101,6
30.6.2007|100,9
30.9.2007|101,5
31.12.2007|101,3
31.3.2008|100,4
30.6.2008|100,9
30.9.2008|100,2
31.12.2008|98,4
31.3.2009|96,5
30.6.2009|99,3
30.9.2009|100,4
31.12.2009|100,2
31.3.2010|100,7
30.6.2010|101,0
30.9.2010|100,5
31.12.2010|100,5
31.3.2011|100,7
30.6.2011|100,2
30.9.2011|99,9
31.12.2011|100,2
31.3.2012|99,7
30.6.2012|99,6
30.9.2012|99,5
31.12.2012|99,7
31.3.2013|99,5
30.6.2013|100,2
30.9.2013|100,3
31.12.2013|101,3
31.3.2014|99,7
30.6.2014|100,9
30.9.2014|101,3
31.12.2014|101,3
31.3.2015|101,8
30.6.2015|101,5
30.9.2015|101,2
31.12.2015|100,5
31.3.2016|100,3
30.6.2016|100,8
30.9.2016|100,2
31.12.2016|100,4
31.3.2017|101,5
30.6.2017|102,5
30.9.2017|100,5
