Období|UK1 Nedostatečná poptávka tuzemsko (1=vůbec, 5=nejvíce; průměr)|UK2 Nedostatečná poptávka zahraničí (1=vůbec, 5=nejvíce; průměr)|UK3 Nedostatek financí (1=vůbec, 5=nejvíce; průměr)|UK4 Druhotná platební neschopnost (1=vůbec, 5=nejvíce; průměr)|UK5 Ceny materiálů a surovin (1=vůbec, 5=nejvíce; průměr)|UK6 Ceny energie (1=vůbec, 5=nejvíce; průměr)|UK7 Vysoké náklady na práci (1=vůbec, 5=nejvíce; průměr)|UK8 Nedostatek kvalifikované pracovní síly (1=vůbec, 5=nejvíce; průměr)|UK9 Konkurence (1=vůbec, 5=nejvíce; průměr)
31.3.2011|3,5|3,2|2,5|2,0|3,3|3,2|2,8|2,4|3,4
30.6.2011|3,7|3,0|2,4|2,0|3,4|3,4|2,8|2,5|3,5
30.9.2011|3,5|3,1|2,4|2,0|3,4|3,4|2,8|2,5|3,4
31.12.2011|3,5|3,2|2,4|2,1|3,5|3,5|2,9|2,4|3,5
31.3.2012|3,7|3,1|2,4|2,2|3,6|3,5|2,8|2,4|3,5
30.6.2012|3,6|3,2|2,5|2,2|3,6|3,6|2,9|2,4|3,5
30.9.2012|3,7|3,2|2,5|2,2|3,6|3,6|3,0|2,5|3,6
31.12.2012|3,7|3,3|2,6|2,2|3,5|3,6|3,0|2,5|3,5
31.3.2013|3,6|3,3|2,6|2,2|3,7|3,6|3,0|2,5|3,6
30.6.2013|3,6|3,3|2,7|2,1|3,6|3,6|3,0|2,5|3,6
30.9.2013|3,6|3,3|2,7|2,2|3,6|3,5|3,0|2,5|3,6
31.12.2013|3,5|3,2|2,7|2,2|3,7|3,5|3,0|2,6|3,6
31.3.2014|3,6|3,3|2,8|2,2|3,7|3,5|3,1|2,7|3,7
30.6.2014|3,6|3,3|2,7|2,1|3,6|3,5|3,1|2,6|3,8
30.9.2014|3,6|3,4|2,8|2,2|3,6|3,5|3,1|2,7|3,8
31.12.2014|3,6|3,3|2,8|2,2|3,6|3,4|3,1|2,8|3,8
31.3.2015|3,6|3,4|2,8|2,1|3,7|3,5|3,2|2,8|3,7
30.6.2015|3,6|3,3|2,8|2,2|3,6|3,4|3,2|2,9|3,7
30.9.2015|3,5|3,2|2,7|2,2|3,6|3,4|3,2|3,0|3,8
31.12.2015|3,5|3,2|2,8|2,2|3,6|3,3|3,2|3,1|3,8
31.3.2016|3,5|3,2|2,8|2,2|3,6|3,4|3,3|3,1|3,7
30.6.2016|3,5|3,2|2,8|2,2|3,7|3,3|3,3|3,3|3,7
30.9.2016|3,4|3,2|2,8|2,2|3,6|3,2|3,3|3,4|3,7
31.12.2016|3,5|3,3|2,8|2,3|3,6|3,3|3,3|3,4|3,7
31.3.2017|3,6|3,3|2,8|2,3|3,6|3,3|3,3|3,5|3,7
30.6.2017|3,5|3,4|2,8|2,2|3,6|3,3|3,4|3,6|3,7
30.9.2017|3,5|3,4|2,9|2,3|3,6|3,2|3,4|3,6|3,7
31.12.2017|3,5|3,3|2,8|2,2|3,6|3,3|3,4|3,7|3,6
